Z,Y,X,Red,Green,Blue,Size
0,58,74,144,133,117,1
0,58,75,107,105,89,1
0,58,76,79,69,64,1
0,58,77,58,47,33,1
0,58,185,31,42,54,1
0,58,186,63,66,76,1
0,58,187,80,90,103,1
0,58,188,124,137,143,1
0,58,189,149,137,130,1
0,58,190,131,134,141,1
0,58,191,151,149,145,1
0,58,192,125,101,91,1
0,58,193,80,87,108,1
0,58,194,130,148,143,1
0,58,195,134,126,137,1
0,58,196,131,128,147,1
0,58,197,145,140,145,1
0,58,198,146,153,145,1
0,58,199,133,134,151,1
0,58,200,160,164,164,1
0,58,201,155,135,129,1
0,58,202,132,120,113,1
0,58,203,108,102,93,1
0,58,204,76,62,58,1
0,58,313,38,48,57,1
0,58,314,72,68,76,1
0,58,315,90,103,108,1
0,58,316,122,129,131,1
0,58,317,135,126,131,1
0,58,318,129,122,119,1
0,58,319,128,139,152,1
0,58,320,132,108,95,1
0,58,321,89,99,110,1
0,58,322,124,144,142,1
0,58,323,138,137,140,1
0,58,324,138,137,156,1
0,58,325,150,149,145,1
0,58,326,152,158,148,1
0,58,327,141,132,134,1
0,58,328,148,152,151,1
0,58,329,143,131,134,1
0,58,330,120,115,116,1
0,58,331,108,93,86,1
0,58,332,72,54,52,1
0,59,57,39,51,64,1
0,59,58,83,77,80,1
0,59,59,97,111,123,1
0,59,60,143,148,153,1
0,59,61,140,134,152,1
0,59,62,133,118,120,1
0,59,63,115,128,143,1
0,59,64,130,118,99,1
0,59,65,83,91,92,1
0,59,66,97,125,143,1
0,59,67,146,149,141,1
0,59,68,142,146,153,1
0,59,69,143,149,154,1
0,59,70,162,160,166,1
0,59,71,159,145,142,1
0,59,72,152,148,147,1
0,59,73,147,140,141,1
0,59,74,117,110,116,1
0,59,75,114,92,77,1
0,59,76,73,58,50,1
0,59,185,46,56,69,1
0,59,186,90,84,78,1
0,59,187,91,110,122,1
0,59,188,146,153,153,1
0,59,189,142,137,155,1
0,59,190,143,122,124,1
0,59,191,126,120,127,1
0,59,192,118,109,106,1
0,59,193,91,92,86,1
